dms_orig,dms_dest,sctg2,dms_mode,thousand tons in 2017,thousand tons in 2018,thousand tons in 2019,thousand tons in 2020,thousand tons in 2021,thousand tons in 2022,thousand tons in 2023,thousand tons in 2024,thousand tons in 2030,thousand tons in 2030_low,thousand tons in 2030_high,thousand tons in 2035,thousand tons in 2035_low,thousand tons in 2035_high,thousand tons in 2040,thousand tons in 2040_low,thousand tons in 2040_high,thousand tons in 2045,thousand tons in 2045_low,thousand tons in 2045_high,thousand tons in 2050,thousand tons in 2050_low,thousand tons in 2050_high
183-Fort Wayne IN,26-Michigan,21-Pharmaceuticals,5-Multiple modes & mail,0.0667,0.0633,0.0648,0.0665,0.0701,0.0762,0.0792,0.0849,0.1071,0.1048,0.1178,0.128,0.1208,0.1305,0.1529,0.1395,0.1559,0.1825,0.1611,0.1861,0.2183,0.1863,0.2207
183-Fort Wayne IN,27-Minnesota,21-Pharmaceuticals,5-Multiple modes & mail,0,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002
183-Fort Wayne IN,29-Missouri,21-Pharmaceuticals,5-Multiple modes & mail,0.0006,0.0005,0.0005,0.0006,0.0006,0.0006,0.0007,0.0007,0.0009,0.0008,0.0009,0.001,0.001,0.0011,0.0013,0.0011,0.0013,0.0015,0.0013,0.0016,0.0019,0.0016,0.0019
183-Fort Wayne IN,34-New Jersey,21-Pharmaceuticals,5-Multiple modes & mail,0,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002
183-Fort Wayne IN,36-New York,21-Pharmaceuticals,5-Multiple modes & mail,0.0005,0.0005,0.0005,0.0005,0.0005,0.0006,0.0006,0.0006,0.0008,0.0007,0.0008,0.0009,0.0009,0.0009,0.0011,0.001,0.0011,0.0013,0.0012,0.0014,0.0016,0.0014,0.0017
183-Fort Wayne IN,37-North Carolina,21-Pharmaceuticals,5-Multiple modes & mail,0.8155,0.7742,0.792,0.8125,0.8563,0.9317,0.9684,1.0373,1.5104,1.4769,1.5251,1.7878,1.6862,1.8235,2.113,1.9292,2.1552,2.5015,2.2143,2.5515,2.9234,2.5083,2.9819
183-Fort Wayne IN,38-North Dakota,21-Pharmaceuticals,5-Multiple modes & mail,0.0009,0.0009,0.0009,0.0009,0.001,0.0011,0.0011,0.0012,0.0014,0.0014,0.0014,0.0017,0.0016,0.0017,0.0021,0.002,0.0021,0.0025,0.0024,0.0026,0.0031,0.0028,0.0031
183-Fort Wayne IN,39-Ohio,21-Pharmaceuticals,1-Truck,0.0122,0.0116,0.0119,0.0122,0.0129,0.014,0.0145,0.0156,0.022,0.0216,0.0221,0.026,0.0247,0.0265,0.0305,0.0281,0.0307,0.0359,0.032,0.0363,0.0417,0.0359,0.0424
183-Fort Wayne IN,39-Ohio,21-Pharmaceuticals,5-Multiple modes & mail,0.119,0.113,0.1156,0.1186,0.1249,0.136,0.1413,0.1514,0.2201,0.2161,0.2206,0.2591,0.247,0.2643,0.3045,0.2813,0.3054,0.3585,0.3213,0.3608,0.4166,0.3625,0.4225
183-Fort Wayne IN,40-Oklahoma,21-Pharmaceuticals,5-Multiple modes & mail,0.0018,0.0018,0.0018,0.0018,0.0019,0.0021,0.0022,0.0024,0.003,0.003,0.0033,0.0036,0.0035,0.0036,0.0042,0.0041,0.0043,0.005,0.0048,0.0051,0.0059,0.0057,0.006
183-Fort Wayne IN,42-Pennsylvania,21-Pharmaceuticals,5-Multiple modes & mail,0.0105,0.01,0.0102,0.0104,0.011,0.012,0.0124,0.0133,0.0158,0.0155,0.0174,0.0192,0.0183,0.0196,0.0233,0.0215,0.0235,0.0284,0.0252,0.0286,0.0345,0.0297,0.035
183-Fort Wayne IN,47-Tennessee,21-Pharmaceuticals,4-Air (include truck-air),0.0016,0.0015,0.0015,0.0016,0.0017,0.0018,0.0019,0.002,0.0027,0.0026,0.0027,0.003,0.0028,0.0031,0.0034,0.0031,0.0035,0.0038,0.0033,0.0039,0.0042,0.0036,0.0043
183-Fort Wayne IN,47-Tennessee,21-Pharmaceuticals,5-Multiple modes & mail,0.0044,0.0042,0.0043,0.0044,0.0047,0.0051,0.0053,0.0056,0.0079,0.0077,0.0081,0.009,0.0085,0.0092,0.0103,0.0094,0.0106,0.0119,0.0103,0.0121,0.0134,0.0113,0.0137
183-Fort Wayne IN,48-Texas,21-Pharmaceuticals,5-Multiple modes & mail,0.0888,0.0843,0.0863,0.0885,0.0933,0.1015,0.1055,0.113,0.1321,0.1285,0.1329,0.1607,0.1515,0.1639,0.1954,0.1792,0.1993,0.2376,0.2121,0.2424,0.289,0.2506,0.2947
183-Fort Wayne IN,51-Virginia,21-Pharmaceuticals,4-Air (include truck-air),0.0018,0.0017,0.0018,0.0018,0.0019,0.0021,0.0022,0.0023,0.0033,0.0032,0.0037,0.0039,0.0035,0.0039,0.0044,0.0039,0.0045,0.0051,0.0043,0.0052,0.0058,0.0046,0.0059
183-Fort Wayne IN,51-Virginia,21-Pharmaceuticals,5-Multiple modes & mail,0.0005,0.0005,0.0005,0.0005,0.0005,0.0006,0.0006,0.0006,0.0009,0.0008,0.0009,0.001,0.0009,0.001,0.0011,0.001,0.0011,0.0013,0.0011,0.0013,0.0014,0.0012,0.0015
183-Fort Wayne IN,54-West Virginia,21-Pharmaceuticals,5-Multiple modes & mail,0.0016,0.0015,0.0015,0.0016,0.0017,0.0018,0.0019,0.002,0.003,0.0029,0.003,0.0035,0.0032,0.0036,0.0042,0.0035,0.0042,0.0049,0.004,0.005,0.0057,0.0044,0.0058
183-Fort Wayne IN,55-Wisconsin,21-Pharmaceuticals,5-Multiple modes & mail,0.0007,0.0007,0.0007,0.0007,0.0007,0.0008,0.0008,0.0009,0.001,0.001,0.001,0.0013,0.0012,0.0013,0.0015,0.0015,0.0016,0.0019,0.0017,0.0019,0.0023,0.0021,0.0023
189-Rest of IN,05-Arkansas,21-Pharmaceuticals,5-Multiple modes & mail,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0002,0.0003,0.0003,0.0003,0.0003
189-Rest of IN,06-California,21-Pharmaceuticals,4-Air (include truck-air),0.06,0.0569,0.0582,0.0597,0.063,0.0685,0.0712,0.0763,0.0876,0.0866,0.0879,0.1065,0.1049,0.1086,0.1295,0.1245,0.1321,0.1575,0.1478,0.1596,0.1915,0.1754,0.1953
189-Rest of IN,06-California,21-Pharmaceuticals,5-Multiple modes & mail,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004
189-Rest of IN,12-Florida,21-Pharmaceuticals,4-Air (include truck-air),0.0003,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004,0.0005,0.0004,0.0005,0.0006,0.0005,0.0006,0.0007,0.0006,0.0007,0.0008,0.0007,0.0008
189-Rest of IN,13-Georgia,21-Pharmaceuticals,1-Truck,0.1198,0.1137,0.1164,0.1194,0.1258,0.1369,0.1423,0.1524,0.2131,0.2082,0.2344,0.2553,0.2402,0.2604,0.3054,0.2767,0.3115,0.3659,0.3194,0.3732,0.4318,0.3629,0.4404
189-Rest of IN,17-Illinois,21-Pharmaceuticals,1-Truck,0.031,0.0294,0.0301,0.0309,0.0325,0.0354,0.0368,0.0394,0.0538,0.0528,0.0539,0.0634,0.0605,0.0647,0.0746,0.0688,0.0761,0.0877,0.0785,0.0878,0.1021,0.0888,0.1026
189-Rest of IN,17-Illinois,21-Pharmaceuticals,5-Multiple modes & mail,0.0028,0.0027,0.0027,0.0028,0.003,0.0032,0.0034,0.0036,0.0049,0.0048,0.005,0.0058,0.0056,0.006,0.0069,0.0063,0.007,0.0081,0.0073,0.0081,0.0095,0.0082,0.0095
189-Rest of IN,18-Indiana,21-Pharmaceuticals,1-Truck,1.1174,1.0608,1.0851,1.1132,1.1732,1.2766,1.3269,1.4213,1.9628,1.9402,1.9675,2.3355,2.2678,2.3823,2.7688,2.6378,2.8241,3.2797,3.0731,3.2801,3.8618,3.5631,3.8839
189-Rest of IN,18-Indiana,21-Pharmaceuticals,5-Multiple modes & mail,0.0032,0.003,0.0031,0.0032,0.0033,0.0036,0.0038,0.0041,0.0053,0.0052,0.0053,0.0061,0.0059,0.0062,0.007,0.0066,0.0071,0.008,0.0075,0.008,0.0091,0.0084,0.0092
189-Rest of IN,19-Iowa,21-Pharmaceuticals,5-Multiple modes & mail,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0002,0.0003,0.0003,0.0003,0.0003,0.0004,0.0003,0.0004
189-Rest of IN,21-Kentucky,21-Pharmaceuticals,1-Truck,0.3227,0.3063,0.3133,0.3214,0.3388,0.3686,0.3831,0.4104,0.5523,0.5398,0.554,0.6573,0.6146,0.6704,0.7766,0.7016,0.7921,0.9276,0.8113,0.9417,1.0911,0.9241,1.1098
189-Rest of IN,21-Kentucky,21-Pharmaceuticals,5-Multiple modes & mail,0.0071,0.0068,0.0069,0.0071,0.0075,0.0082,0.0085,0.0091,0.0115,0.0112,0.0115,0.0135,0.0126,0.0137,0.0157,0.0142,0.016,0.0183,0.0161,0.0183,0.0211,0.0179,0.0213
189-Rest of IN,22-Louisiana,21-Pharmaceuticals,1-Truck,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0004,0.0003,0.0004,0.0005,0.0004,0.0005
189-Rest of IN,26-Michigan,21-Pharmaceuticals,1-Truck,0.017,0.0161,0.0165,0.0169,0.0178,0.0194,0.0202,0.0216,0.0286,0.0281,0.0315,0.0338,0.0321,0.0345,0.0398,0.0368,0.0406,0.0467,0.0419,0.0476,0.0554,0.0483,0.0565
189-Rest of IN,26-Michigan,21-Pharmaceuticals,5-Multiple modes & mail,0.0042,0.0039,0.004,0.0041,0.0044,0.0047,0.0049,0.0053,0.0068,0.0067,0.0075,0.008,0.0076,0.0081,0.0093,0.0085,0.0095,0.0108,0.0096,0.011,0.0126,0.0109,0.0128
189-Rest of IN,27-Minnesota,21-Pharmaceuticals,5-Multiple modes & mail,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,0.0004,0.0003,0.0004,0.0004,0.0004,0.0004,0.0005,0.0005,0.0005
189-Rest of IN,29-Missouri,21-Pharmaceuticals,5-Multiple modes & mail,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0004,0.0003,0.0004,0.0004,0.0004,0.0004,0.0005,0.0004,0.0005,0.0006,0.0005,0.0006
189-Rest of IN,33-New Hampshire,21-Pharmaceuticals,5-Multiple modes & mail,0,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002
189-Rest of IN,34-New Jersey,21-Pharmaceuticals,4-Air (include truck-air),0.0181,0.0172,0.0176,0.018,0.019,0.0207,0.0215,0.023,0.0267,0.026,0.0293,0.0324,0.0303,0.0331,0.0394,0.0353,0.0402,0.048,0.0411,0.0489,0.0583,0.0479,0.0595
189-Rest of IN,34-New Jersey,21-Pharmaceuticals,5-Multiple modes & mail,0,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002
189-Rest of IN,36-New York,21-Pharmaceuticals,1-Truck,0.0018,0.0017,0.0017,0.0018,0.0019,0.002,0.0021,0.0023,0.0031,0.003,0.0034,0.0037,0.0035,0.0037,0.0044,0.0039,0.0044,0.0052,0.0045,0.0053,0.0061,0.0051,0.0062
189-Rest of IN,36-New York,21-Pharmaceuticals,5-Multiple modes & mail,0,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002
189-Rest of IN,39-Ohio,21-Pharmaceuticals,1-Truck,0.015,0.0143,0.0146,0.015,0.0158,0.0172,0.0179,0.0191,0.0248,0.0243,0.0248,0.0292,0.0278,0.0298,0.0344,0.0316,0.0351,0.0404,0.036,0.0407,0.0469,0.0404,0.0476
189-Rest of IN,39-Ohio,21-Pharmaceuticals,5-Multiple modes & mail,0.0018,0.0017,0.0018,0.0018,0.0019,0.0021,0.0022,0.0023,0.003,0.003,0.003,0.0036,0.0034,0.0036,0.0042,0.0038,0.0043,0.0049,0.0044,0.0049,0.0057,0.0049,0.0058
189-Rest of IN,42-Pennsylvania,21-Pharmaceuticals,1-Truck,1.2533,1.1898,1.2171,1.2486,1.3159,1.4319,1.4882,1.5941,2.1317,2.0882,2.3449,2.5395,2.4376,2.5903,3.0191,2.8005,3.0795,3.5878,3.2186,3.6449,4.2269,3.6656,4.3144
189-Rest of IN,42-Pennsylvania,21-Pharmaceuticals,5-Multiple modes & mail,0.0016,0.0016,0.0016,0.0016,0.0017,0.0019,0.002,0.0021,0.0029,0.0028,0.0032,0.0034,0.0033,0.0035,0.004,0.0038,0.0041,0.0048,0.0043,0.0049,0.0056,0.0049,0.0057
189-Rest of IN,45-South Carolina,21-Pharmaceuticals,5-Multiple modes & mail,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0002,0.0003,0.0003,0.0003,0.0003,0.0004,0.0003,0.0004
189-Rest of IN,46-South Dakota,21-Pharmaceuticals,5-Multiple modes & mail,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0005,0.0005,0.0005
189-Rest of IN,47-Tennessee,21-Pharmaceuticals,4-Air (include truck-air),0.0207,0.0196,0.0201,0.0206,0.0217,0.0236,0.0245,0.0263,0.0306,0.03,0.0337,0.0372,0.0356,0.0379,0.0452,0.0421,0.0461,0.055,0.0499,0.0561,0.0669,0.0593,0.0682
189-Rest of IN,47-Tennessee,21-Pharmaceuticals,5-Multiple modes & mail,0.0053,0.005,0.0052,0.0053,0.0056,0.0061,0.0063,0.0068,0.0079,0.0077,0.0087,0.0096,0.0091,0.0098,0.0116,0.0108,0.0119,0.0141,0.0128,0.0144,0.0172,0.0153,0.0175
189-Rest of IN,48-Texas,21-Pharmaceuticals,5-Multiple modes & mail,0.0003,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004,0.0004,0.0005,0.0005,0.0005,0.0006,0.0006,0.0006,0.0007,0.0007,0.0007,0.0009,0.0008,0.0009,0.0011,0.0009,0.0011
189-Rest of IN,54-West Virginia,21-Pharmaceuticals,5-Multiple modes & mail,0.0546,0.0519,0.0531,0.0544,0.0574,0.0624,0.0649,0.0695,0.094,0.0911,0.0943,0.1113,0.0999,0.1135,0.1314,0.1118,0.134,0.1551,0.1251,0.1582,0.1802,0.1378,0.1838
190-Iowa,01-Alabama,21-Pharmaceuticals,5-Multiple modes & mail,0.2997,0.2845,0.2911,0.2986,0.3147,0.3424,0.3559,0.3812,0.5231,0.5176,0.5754,0.6026,0.5917,0.6147,0.6931,0.6719,0.7069,0.7982,0.7654,0.8141,0.9066,0.8597,0.9247
190-Iowa,04-Arizona,21-Pharmaceuticals,5-Multiple modes & mail,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0004,0.0003,0.0004,0.0004,0.0004,0.0004
190-Iowa,05-Arkansas,21-Pharmaceuticals,5-Multiple modes & mail,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004,0.0005,0.0005,0.0005,0.0006,0.0005,0.0006,0.0007,0.0006,0.0007,0.0008,0.0006,0.0008
190-Iowa,06-California,21-Pharmaceuticals,1-Truck,0.0144,0.0137,0.014,0.0144,0.0152,0.0165,0.0171,0.0184,0.0212,0.021,0.0234,0.0258,0.0254,0.0263,0.0314,0.0302,0.032,0.0382,0.0358,0.039,0.0464,0.0425,0.0474
190-Iowa,06-California,21-Pharmaceuticals,5-Multiple modes & mail,0.0022,0.0021,0.0021,0.0022,0.0023,0.0025,0.0026,0.0028,0.0032,0.0032,0.0035,0.0039,0.0039,0.004,0.0047,0.0046,0.0048,0.0058,0.0054,0.0059,0.007,0.0064,0.0071
190-Iowa,08-Colorado,21-Pharmaceuticals,1-Truck,0.198,0.188,0.1923,0.1973,0.2079,0.2263,0.2352,0.2519,0.2921,0.2895,0.3213,0.3552,0.3514,0.3623,0.432,0.4224,0.4406,0.5253,0.5076,0.5358,0.6388,0.608,0.6516
190-Iowa,08-Colorado,21-Pharmaceuticals,5-Multiple modes & mail,0.0242,0.0229,0.0235,0.0241,0.0254,0.0276,0.0287,0.0307,0.0366,0.0363,0.0403,0.0443,0.0438,0.0452,0.0535,0.0523,0.0546,0.0646,0.0624,0.0659,0.0783,0.0745,0.0799
190-Iowa,12-Florida,21-Pharmaceuticals,1-Truck,0.015,0.0142,0.0145,0.0149,0.0157,0.0171,0.0178,0.019,0.0217,0.0212,0.0238,0.0263,0.0252,0.0269,0.032,0.0297,0.0327,0.039,0.0351,0.0397,0.0474,0.0415,0.0483
190-Iowa,12-Florida,21-Pharmaceuticals,5-Multiple modes & mail,0,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002
190-Iowa,13-Georgia,21-Pharmaceuticals,1-Truck,0.0298,0.0283,0.0289,0.0297,0.0313,0.034,0.0354,0.0379,0.0438,0.0428,0.0482,0.0532,0.0501,0.0543,0.0647,0.0586,0.066,0.0787,0.0687,0.0803,0.0957,0.0804,0.0976
190-Iowa,13-Georgia,21-Pharmaceuticals,5-Multiple modes & mail,0.0063,0.006,0.0061,0.0063,0.0066,0.0072,0.0075,0.0081,0.0093,0.0091,0.0102,0.0113,0.0106,0.0115,0.0138,0.0125,0.014,0.0167,0.0146,0.0171,0.0204,0.0171,0.0208
190-Iowa,16-Idaho,21-Pharmaceuticals,5-Multiple modes & mail,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
190-Iowa,17-Illinois,21-Pharmaceuticals,1-Truck,2.707,2.5699,2.6288,2.6968,2.8422,3.0928,3.2144,3.4433,4.7141,4.6275,5.1855,5.5127,5.2732,5.623,6.4283,5.9603,6.5569,7.4927,6.7453,7.6426,8.6739,7.583,8.8474
190-Iowa,17-Illinois,21-Pharmaceuticals,5-Multiple modes & mail,2.8142,2.6716,2.7329,2.8036,2.9548,3.2152,3.3417,3.5796,4.3849,4.3014,4.8234,5.2625,5.013,5.3677,6.3119,5.8265,6.4381,7.5725,6.7826,7.724,9.0696,7.8817,9.251
190-Iowa,18-Indiana,21-Pharmaceuticals,1-Truck,0.0361,0.0343,0.035,0.0359,0.0379,0.0412,0.0428,0.0459,0.0645,0.0634,0.0709,0.0757,0.0725,0.0773,0.0889,0.0829,0.0907,0.1045,0.0951,0.1066,0.1213,0.1079,0.1238
190-Iowa,18-Indiana,21-Pharmaceuticals,5-Multiple modes & mail,0.0013,0.0012,0.0012,0.0013,0.0013,0.0015,0.0015,0.0016,0.0023,0.0022,0.0025,0.0027,0.0025,0.0027,0.0031,0.0029,0.0032,0.0037,0.0033,0.0037,0.0042,0.0038,0.0043
190-Iowa,19-Iowa,21-Pharmaceuticals,1-Truck,29.0704,27.5975,28.2311,28.9607,30.5227,33.2129,34.5198,36.977,42.1291,41.9617,46.3421,51.2316,49.272,52.2563,62.3009,59.1614,63.5469,75.7618,71.0116,77.277,92.1312,85.1946,93.9739
190-Iowa,19-Iowa,21-Pharmaceuticals,5-Multiple modes & mail,2.9301,2.7816,2.8455,2.919,3.0765,3.3476,3.4794,3.727,4.2463,4.2295,4.671,5.1638,4.9663,5.2671,6.2795,5.9631,6.4051,7.6363,7.1575,7.789,9.2862,8.587,9.4719
190-Iowa,20-Kansas,21-Pharmaceuticals,1-Truck,0.0869,0.0825,0.0844,0.0866,0.0913,0.0993,0.1032,0.1106,0.1259,0.1246,0.1385,0.1531,0.1516,0.1561,0.1861,0.1831,0.1899,0.2264,0.2213,0.2309,0.2753,0.267,0.2808
190-Iowa,20-Kansas,21-Pharmaceuticals,5-Multiple modes & mail,0.1118,0.1061,0.1085,0.1113,0.1173,0.1277,0.1327,0.1421,0.1674,0.1657,0.1841,0.2007,0.1987,0.2047,0.2405,0.2362,0.2453,0.2884,0.2812,0.2941,0.3448,0.3332,0.3517
190-Iowa,21-Kentucky,21-Pharmaceuticals,1-Truck,0.9182,0.8716,0.8917,0.9147,0.964,1.049,1.0903,1.1679,1.3673,1.3362,1.504,1.6627,1.552,1.696,2.022,1.8242,2.0624,2.4589,2.1482,2.508,2.9901,2.5303,3.0499
190-Iowa,22-Louisiana,21-Pharmaceuticals,1-Truck,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0004,0.0003,0.0004
190-Iowa,23-Maine,21-Pharmaceuticals,5-Multiple modes & mail,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0002,0.0003
190-Iowa,24-Maryland,21-Pharmaceuticals,5-Multiple modes & mail,0.0111,0.0106,0.0108,0.0111,0.0117,0.0127,0.0132,0.0142,0.0165,0.0162,0.0182,0.0201,0.0189,0.0205,0.0244,0.022,0.0249,0.0297,0.0257,0.0303,0.0361,0.0299,0.0368
190-Iowa,26-Michigan,21-Pharmaceuticals,1-Truck,0.9903,0.9401,0.9617,0.9866,1.0398,1.1314,1.1759,1.2596,1.6728,1.6375,1.8401,1.9315,1.8283,1.9701,2.226,2.0388,2.2706,2.5594,2.2718,2.6106,2.9439,2.5334,3.0028
190-Iowa,26-Michigan,21-Pharmaceuticals,4-Air (include truck-air),0.0037,0.0035,0.0036,0.0037,0.0039,0.0042,0.0044,0.0047,0.0063,0.0061,0.0069,0.0072,0.0068,0.0074,0.0083,0.0076,0.0085,0.0096,0.0085,0.0098,0.011,0.0095,0.0112
190-Iowa,26-Michigan,21-Pharmaceuticals,5-Multiple modes & mail,0.0073,0.0069,0.0071,0.0073,0.0077,0.0084,0.0087,0.0093,0.0125,0.0122,0.0137,0.0145,0.0137,0.0148,0.0168,0.0154,0.0171,0.0194,0.0172,0.0198,0.0225,0.0193,0.0229
190-Iowa,27-Minnesota,21-Pharmaceuticals,1-Truck,6.0168,5.712,5.8431,5.9941,6.3174,6.8742,7.1447,7.6533,9.0107,8.9682,9.9118,10.936,10.7732,11.1547,13.2578,12.9721,13.5229,16.0498,15.5709,16.3708,19.4315,18.6929,19.8201
190-Iowa,27-Minnesota,21-Pharmaceuticals,4-Air (include truck-air),0.0114,0.0108,0.0111,0.0113,0.012,0.013,0.0135,0.0145,0.0165,0.0164,0.0181,0.02,0.0197,0.0204,0.0243,0.0237,0.0248,0.0296,0.0286,0.0302,0.036,0.0345,0.0367
190-Iowa,27-Minnesota,21-Pharmaceuticals,5-Multiple modes & mail,1.8385,1.7453,1.7854,1.8315,1.9303,2.1005,2.1831,2.3385,2.9372,2.9244,3.2309,3.5524,3.507,3.6235,4.2832,4.2182,4.3689,5.1438,5.0203,5.2466,6.178,5.9756,6.3015
190-Iowa,29-Missouri,21-Pharmaceuticals,1-Truck,0.1456,0.1382,0.1414,0.1451,0.1529,0.1664,0.1729,0.1852,0.2129,0.2088,0.2342,0.2589,0.2439,0.2641,0.3149,0.286,0.3212,0.3829,0.3355,0.3905,0.4656,0.3931,0.4749
190-Iowa,29-Missouri,21-Pharmaceuticals,5-Multiple modes & mail,1.05,0.9968,1.0197,1.046,1.1025,1.1996,1.2468,1.3356,1.5661,1.5374,1.7227,1.9044,1.7893,1.9425,2.3159,2.0964,2.3622,2.8163,2.4585,2.8726,3.4248,2.8812,3.4933
190-Iowa,31-Nebraska,21-Pharmaceuticals,1-Truck,0.1,0.095,0.0971,0.0996,0.105,0.1143,0.1188,0.1272,0.1802,0.1784,0.1983,0.2141,0.2091,0.2184,0.2541,0.2455,0.2592,0.3021,0.2891,0.3082,0.3541,0.3361,0.3612
190-Iowa,31-Nebraska,21-Pharmaceuticals,5-Multiple modes & mail,0.0091,0.0087,0.0089,0.0091,0.0096,0.0104,0.0108,0.0116,0.0164,0.0163,0.0181,0.0196,0.0186,0.02,0.0233,0.0219,0.0238,0.0277,0.0257,0.0283,0.0325,0.0297,0.0331
190-Iowa,34-New Jersey,21-Pharmaceuticals,1-Truck,0.1327,0.126,0.1288,0.1322,0.1393,0.1516,0.1576,0.1688,0.197,0.1919,0.2167,0.2396,0.2239,0.2444,0.2913,0.2607,0.2972,0.3543,0.3037,0.3614,0.4308,0.3536,0.4394
190-Iowa,34-New Jersey,21-Pharmaceuticals,5-Multiple modes & mail,0.1248,0.1185,0.1212,0.1244,0.1311,0.1426,0.1482,0.1588,0.1853,0.1805,0.2039,0.2254,0.2107,0.2299,0.2741,0.2453,0.2796,0.3333,0.2858,0.34,0.4053,0.3327,0.4134
190-Iowa,36-New York,21-Pharmaceuticals,1-Truck,0.0644,0.0611,0.0625,0.0641,0.0676,0.0735,0.0764,0.0819,0.0952,0.0931,0.1047,0.1158,0.1099,0.1181,0.1408,0.1295,0.1436,0.1712,0.1529,0.1746,0.2082,0.1804,0.2123
190-Iowa,36-New York,21-Pharmaceuticals,5-Multiple modes & mail,0.0013,0.0012,0.0013,0.0013,0.0014,0.0015,0.0015,0.0017,0.002,0.0019,0.0022,0.0024,0.0023,0.0024,0.0029,0.0027,0.0029,0.0035,0.0031,0.0036,0.0042,0.0037,0.0043
190-Iowa,37-North Carolina,21-Pharmaceuticals,1-Truck,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0005,0.0007,0.0007,0.0007,0.0008,0.0008,0.0008,0.0009,0.0009,0.001,0.0011,0.001,0.0011,0.0013,0.0011,0.0013
190-Iowa,37-North Carolina,21-Pharmaceuticals,5-Multiple modes & mail,0.0352,0.0334,0.0342,0.035,0.0369,0.0402,0.0418,0.0447,0.0527,0.0515,0.058,0.0641,0.0602,0.0654,0.078,0.0708,0.0795,0.0948,0.0835,0.0967,0.1153,0.0983,0.1176
190-Iowa,38-North Dakota,21-Pharmaceuticals,4-Air (include truck-air),0.003,0.0029,0.0029,0.003,0.0032,0.0034,0.0036,0.0038,0.0044,0.0043,0.0048,0.0053,0.0051,0.0054,0.0065,0.0061,0.0066,0.0079,0.0073,0.008,0.0096,0.0088,0.0098
