Target,ATC2 Class,Period,Model,Actual,Forecast,Error,MAE
Number of Prescriptions,H03,2024Q1,Historical Mean,57467.0,61557.892857142855,4090.892857142855,7788.142857142855
Number of Prescriptions,H03,2024Q1,Naive,57467.0,59376.0,1909.0,5606.25
Number of Prescriptions,H03,2024Q1,Seasonal Naive,57467.0,68474.0,11007.0,11224.25
Number of Prescriptions,H03,2024Q1,AutoARIMA,57467.0,59376.0,1909.0,5606.25
Number of Prescriptions,H03,2024Q1,SARIMA,57467.0,59376.0,1909.0,5606.25
Number of Prescriptions,H03,2024Q2,Historical Mean,55943.0,61557.892857142855,5614.892857142855,7788.142857142855
Number of Prescriptions,H03,2024Q2,Naive,55943.0,59376.0,3433.0,5606.25
Number of Prescriptions,H03,2024Q2,Seasonal Naive,55943.0,68614.0,12671.0,11224.25
Number of Prescriptions,H03,2024Q2,AutoARIMA,55943.0,59376.0,3433.0,5606.25
Number of Prescriptions,H03,2024Q2,SARIMA,55943.0,59376.0,3433.0,5606.25
Number of Prescriptions,H03,2024Q3,Historical Mean,54385.0,61557.892857142855,7172.892857142855,7788.142857142855
Number of Prescriptions,H03,2024Q3,Naive,54385.0,59376.0,4991.0,5606.25
Number of Prescriptions,H03,2024Q3,Seasonal Naive,54385.0,63512.0,9127.0,11224.25
Number of Prescriptions,H03,2024Q3,AutoARIMA,54385.0,59376.0,4991.0,5606.25
Number of Prescriptions,H03,2024Q3,SARIMA,54385.0,59376.0,4991.0,5606.25
Number of Prescriptions,H03,2024Q4,Historical Mean,47284.0,61557.892857142855,14273.892857142855,7788.142857142855
Number of Prescriptions,H03,2024Q4,Naive,47284.0,59376.0,12092.0,5606.25
Number of Prescriptions,H03,2024Q4,Seasonal Naive,47284.0,59376.0,12092.0,11224.25
Number of Prescriptions,H03,2024Q4,AutoARIMA,47284.0,59376.0,12092.0,5606.25
Number of Prescriptions,H03,2024Q4,SARIMA,47284.0,59376.0,12092.0,5606.25
Number of Prescriptions,H04,2024Q1,Historical Mean,1760.0,1217.2142857142858,542.7857142857142,448.0357142857142
Number of Prescriptions,H04,2024Q1,Naive,1760.0,1562.0,198.0,162.25
Number of Prescriptions,H04,2024Q1,Seasonal Naive,1760.0,1562.0,198.0,111.25
Number of Prescriptions,H04,2024Q1,AutoARIMA,1760.0,1808.29931640625,48.29931640625,93.44662475585938
Number of Prescriptions,H04,2024Q1,SARIMA,1760.0,1749.7896728515625,10.2103271484375,161.8060302734375
Number of Prescriptions,H04,2024Q2,Historical Mean,1646.0,1217.2142857142858,428.7857142857142,448.0357142857142
Number of Prescriptions,H04,2024Q2,Naive,1646.0,1562.0,84.0,162.25
Number of Prescriptions,H04,2024Q2,Seasonal Naive,1646.0,1536.0,110.0,111.25
Number of Prescriptions,H04,2024Q2,AutoARIMA,1646.0,1664.860595703125,18.860595703125,93.44662475585938
Number of Prescriptions,H04,2024Q2,SARIMA,1646.0,1721.4991455078125,75.4991455078125,161.8060302734375
Number of Prescriptions,H04,2024Q3,Historical Mean,1811.0,1217.2142857142858,593.7857142857142,448.0357142857142
Number of Prescriptions,H04,2024Q3,Naive,1811.0,1562.0,249.0,162.25
Number of Prescriptions,H04,2024Q3,Seasonal Naive,1811.0,1830.0,19.0,111.25
Number of Prescriptions,H04,2024Q3,AutoARIMA,1811.0,1816.7669677734375,5.7669677734375,93.44662475585938
Number of Prescriptions,H04,2024Q3,SARIMA,1811.0,2051.805908203125,240.805908203125,161.8060302734375
Number of Prescriptions,H04,2024Q4,Historical Mean,1444.0,1217.2142857142858,226.78571428571422,448.0357142857142
Number of Prescriptions,H04,2024Q4,Naive,1444.0,1562.0,118.0,162.25
Number of Prescriptions,H04,2024Q4,Seasonal Naive,1444.0,1562.0,118.0,111.25
Number of Prescriptions,H04,2024Q4,AutoARIMA,1444.0,1744.859619140625,300.859619140625,93.44662475585938
Number of Prescriptions,H04,2024Q4,SARIMA,1444.0,1764.708740234375,320.708740234375,161.8060302734375
Number of Prescriptions,H05,2024Q1,Historical Mean,1201.0,4848.071428571428,3647.0714285714284,3619.8214285714284
Number of Prescriptions,H05,2024Q1,Naive,1201.0,1209.0,8.0,63.25
Number of Prescriptions,H05,2024Q1,Seasonal Naive,1201.0,1546.0,345.0,150.5
Number of Prescriptions,H05,2024Q1,AutoARIMA,1201.0,1162.5504150390625,38.4495849609375,130.99746704101562
Number of Prescriptions,H05,2024Q1,SARIMA,1201.0,1162.5504150390625,38.4495849609375,130.99746704101562
Number of Prescriptions,H05,2024Q2,Historical Mean,1197.0,4848.071428571428,3651.0714285714284,3619.8214285714284
Number of Prescriptions,H05,2024Q2,Naive,1197.0,1209.0,12.0,63.25
Number of Prescriptions,H05,2024Q2,Seasonal Naive,1197.0,1377.0,180.0,150.5
Number of Prescriptions,H05,2024Q2,AutoARIMA,1197.0,1117.885498046875,79.114501953125,130.99746704101562
Number of Prescriptions,H05,2024Q2,SARIMA,1197.0,1117.885498046875,79.114501953125,130.99746704101562
Number of Prescriptions,H05,2024Q3,Historical Mean,1374.0,4848.071428571428,3474.0714285714284,3619.8214285714284
Number of Prescriptions,H05,2024Q3,Naive,1374.0,1209.0,165.0,63.25
Number of Prescriptions,H05,2024Q3,Seasonal Naive,1374.0,1365.0,9.0,150.5
Number of Prescriptions,H05,2024Q3,AutoARIMA,1374.0,1074.9365234375,299.0634765625,130.99746704101562
Number of Prescriptions,H05,2024Q3,SARIMA,1374.0,1074.9365234375,299.0634765625,130.99746704101562
Number of Prescriptions,H05,2024Q4,Historical Mean,1141.0,4848.071428571428,3707.0714285714284,3619.8214285714284
Number of Prescriptions,H05,2024Q4,Naive,1141.0,1209.0,68.0,63.25
Number of Prescriptions,H05,2024Q4,Seasonal Naive,1141.0,1209.0,68.0,150.5
Number of Prescriptions,H05,2024Q4,AutoARIMA,1141.0,1033.6376953125,107.3623046875,130.99746704101562
Number of Prescriptions,H05,2024Q4,SARIMA,1141.0,1033.6376953125,107.3623046875,130.99746704101562
Number of Prescriptions,J01,2024Q1,Historical Mean,320350.0,241012.0,79338.0,43772.0
Number of Prescriptions,J01,2024Q1,Naive,320350.0,281536.0,38814.0,17924.5
Number of Prescriptions,J01,2024Q1,Seasonal Naive,320350.0,361747.0,41397.0,17210.5
Number of Prescriptions,J01,2024Q1,AutoARIMA,320350.0,281536.0,38814.0,17924.5
Number of Prescriptions,J01,2024Q1,SARIMA,320350.0,281536.0,38814.0,17924.5
Number of Prescriptions,J01,2024Q2,Historical Mean,273217.0,241012.0,32205.0,43772.0
Number of Prescriptions,J01,2024Q2,Naive,273217.0,281536.0,8319.0,17924.5
Number of Prescriptions,J01,2024Q2,Seasonal Naive,273217.0,295302.0,22085.0,17210.5
Number of Prescriptions,J01,2024Q2,AutoARIMA,273217.0,281536.0,8319.0,17924.5
Number of Prescriptions,J01,2024Q2,SARIMA,273217.0,281536.0,8319.0,17924.5
Number of Prescriptions,J01,2024Q3,Historical Mean,260502.0,241012.0,19490.0,43772.0
Number of Prescriptions,J01,2024Q3,Naive,260502.0,281536.0,21034.0,17924.5
Number of Prescriptions,J01,2024Q3,Seasonal Naive,260502.0,262331.0,1829.0,17210.5
Number of Prescriptions,J01,2024Q3,AutoARIMA,260502.0,281536.0,21034.0,17924.5
Number of Prescriptions,J01,2024Q3,SARIMA,260502.0,281536.0,21034.0,17924.5
Number of Prescriptions,J01,2024Q4,Historical Mean,285067.0,241012.0,44055.0,43772.0
Number of Prescriptions,J01,2024Q4,Naive,285067.0,281536.0,3531.0,17924.5
Number of Prescriptions,J01,2024Q4,Seasonal Naive,285067.0,281536.0,3531.0,17210.5
Number of Prescriptions,J01,2024Q4,AutoARIMA,285067.0,281536.0,3531.0,17924.5
Number of Prescriptions,J01,2024Q4,SARIMA,285067.0,281536.0,3531.0,17924.5
Number of Prescriptions,J02,2024Q1,Historical Mean,11079.0,13963.357142857143,2884.357142857143,6415.3214285714275
Number of Prescriptions,J02,2024Q1,Naive,11079.0,18469.0,7390.0,4162.5
Number of Prescriptions,J02,2024Q1,Seasonal Naive,11079.0,33033.0,21954.0,8058.5
Number of Prescriptions,J02,2024Q1,AutoARIMA,11079.0,22546.037109375,11467.037109375,3621.5185546875
Number of Prescriptions,J02,2024Q1,SARIMA,11079.0,22546.037109375,11467.037109375,3621.5185546875
Number of Prescriptions,J02,2024Q2,Historical Mean,22570.0,13963.357142857143,8606.642857142857,6415.3214285714275
Number of Prescriptions,J02,2024Q2,Naive,22570.0,18469.0,4101.0,4162.5
Number of Prescriptions,J02,2024Q2,Seasonal Naive,22570.0,29199.0,6629.0,8058.5
Number of Prescriptions,J02,2024Q2,AutoARIMA,22570.0,22546.037109375,23.962890625,3621.5185546875
Number of Prescriptions,J02,2024Q2,SARIMA,22570.0,22546.037109375,23.962890625,3621.5185546875
Number of Prescriptions,J02,2024Q3,Historical Mean,20855.0,13963.357142857143,6891.642857142857,6415.3214285714275
Number of Prescriptions,J02,2024Q3,Naive,20855.0,18469.0,2386.0,4162.5
Number of Prescriptions,J02,2024Q3,Seasonal Naive,20855.0,21733.0,878.0,8058.5
Number of Prescriptions,J02,2024Q3,AutoARIMA,20855.0,22546.037109375,1691.037109375,3621.5185546875
Number of Prescriptions,J02,2024Q3,SARIMA,20855.0,22546.037109375,1691.037109375,3621.5185546875
Number of Prescriptions,J02,2024Q4,Historical Mean,21242.0,13963.357142857143,7278.642857142857,6415.3214285714275
Number of Prescriptions,J02,2024Q4,Naive,21242.0,18469.0,2773.0,4162.5
Number of Prescriptions,J02,2024Q4,Seasonal Naive,21242.0,18469.0,2773.0,8058.5
Number of Prescriptions,J02,2024Q4,AutoARIMA,21242.0,22546.037109375,1304.037109375,3621.5185546875
Number of Prescriptions,J02,2024Q4,SARIMA,21242.0,22546.037109375,1304.037109375,3621.5185546875
Number of Prescriptions,J04,2024Q1,Historical Mean,471.0,390.82142857142856,80.17857142857144,87.33928571428572
Number of Prescriptions,J04,2024Q1,Naive,471.0,550.0,79.0,92.75
Number of Prescriptions,J04,2024Q1,Seasonal Naive,471.0,472.0,1.0,61.25
Number of Prescriptions,J04,2024Q1,AutoARIMA,471.0,487.04119873046875,16.04119873046875,53.308204650878906
Number of Prescriptions,J04,2024Q1,SARIMA,471.0,487.04119873046875,16.04119873046875,53.308204650878906
Number of Prescriptions,J04,2024Q2,Historical Mean,503.0,390.82142857142856,112.17857142857144,87.33928571428572
Number of Prescriptions,J04,2024Q2,Naive,503.0,550.0,47.0,92.75
Number of Prescriptions,J04,2024Q2,Seasonal Naive,503.0,544.0,41.0,61.25
Number of Prescriptions,J04,2024Q2,AutoARIMA,503.0,450.66693115234375,52.33306884765625,53.308204650878906
Number of Prescriptions,J04,2024Q2,SARIMA,503.0,450.66693115234375,52.33306884765625,53.308204650878906
Number of Prescriptions,J04,2024Q3,Historical Mean,506.0,390.82142857142856,115.17857142857144,87.33928571428572
Number of Prescriptions,J04,2024Q3,Naive,506.0,550.0,44.0,92.75
Number of Prescriptions,J04,2024Q3,Seasonal Naive,506.0,504.0,2.0,61.25
Number of Prescriptions,J04,2024Q3,AutoARIMA,506.0,429.6517639160156,76.34823608398438,53.308204650878906
Number of Prescriptions,J04,2024Q3,SARIMA,506.0,429.6517639160156,76.34823608398438,53.308204650878906
Number of Prescriptions,J04,2024Q4,Historical Mean,349.0,390.82142857142856,41.821428571428555,87.33928571428572
Number of Prescriptions,J04,2024Q4,Naive,349.0,550.0,201.0,92.75
Number of Prescriptions,J04,2024Q4,Seasonal Naive,349.0,550.0,201.0,61.25
Number of Prescriptions,J04,2024Q4,AutoARIMA,349.0,417.51031494140625,68.51031494140625,53.308204650878906
Number of Prescriptions,J04,2024Q4,SARIMA,349.0,417.51031494140625,68.51031494140625,53.308204650878906
Number of Prescriptions,J05,2024Q1,Historical Mean,42949.0,28633.714285714286,14315.285714285714,8355.357142857143
Number of Prescriptions,J05,2024Q1,Naive,42949.0,34110.0,8839.0,11093.5
Number of Prescriptions,J05,2024Q1,Seasonal Naive,42949.0,32609.0,10340.0,8629.75
Number of Prescriptions,J05,2024Q1,AutoARIMA,42949.0,28633.71484375,14315.28515625,8355.357421875
Number of Prescriptions,J05,2024Q1,SARIMA,42949.0,31940.435546875,11008.564453125,11934.587890625
Number of Prescriptions,J05,2024Q2,Historical Mean,23471.0,28633.714285714286,5162.714285714286,8355.357142857143
Number of Prescriptions,J05,2024Q2,Naive,23471.0,34110.0,10639.0,11093.5
Number of Prescriptions,J05,2024Q2,Seasonal Naive,23471.0,28969.0,5498.0,8629.75
Number of Prescriptions,J05,2024Q2,AutoARIMA,23471.0,28633.71484375,5162.71484375,8355.357421875
Number of Prescriptions,J05,2024Q2,SARIMA,23471.0,28861.873046875,5390.873046875,11934.587890625
Number of Prescriptions,J05,2024Q3,Historical Mean,24189.0,28633.714285714286,4444.714285714286,8355.357142857143
Number of Prescriptions,J05,2024Q3,Naive,24189.0,34110.0,9921.0,11093.5
Number of Prescriptions,J05,2024Q3,Seasonal Naive,24189.0,27895.0,3706.0,8629.75
Number of Prescriptions,J05,2024Q3,AutoARIMA,24189.0,28633.71484375,4444.71484375,8355.357421875
Number of Prescriptions,J05,2024Q3,SARIMA,24189.0,31115.59765625,6926.59765625,11934.587890625
Number of Prescriptions,J05,2024Q4,Historical Mean,19135.0,28633.714285714286,9498.714285714286,8355.357142857143
Number of Prescriptions,J05,2024Q4,Naive,19135.0,34110.0,14975.0,11093.5
Number of Prescriptions,J05,2024Q4,Seasonal Naive,19135.0,34110.0,14975.0,8629.75
Number of Prescriptions,J05,2024Q4,AutoARIMA,19135.0,28633.71484375,9498.71484375,8355.357421875
Number of Prescriptions,J05,2024Q4,SARIMA,19135.0,43547.31640625,24412.31640625,11934.587890625
Number of Prescriptions,J06,2024Q1,Historical Mean,2568.0,2071.8571428571427,496.14285714285734,802.9285714285713
Number of Prescriptions,J06,2024Q1,Naive,2568.0,2643.0,75.0,1126.0
Number of Prescriptions,J06,2024Q1,Seasonal Naive,2568.0,4064.0,1496.0,1246.75
Number of Prescriptions,J06,2024Q1,AutoARIMA,2568.0,2321.98779296875,246.01220703125,760.4908447265625
Number of Prescriptions,J06,2024Q1,SARIMA,2568.0,3462.86083984375,894.86083984375,1170.6927490234375
Number of Prescriptions,J06,2024Q2,Historical Mean,1308.0,2071.8571428571427,763.8571428571427,802.9285714285713
Number of Prescriptions,J06,2024Q2,Naive,1308.0,2643.0,1335.0,1126.0
Number of Prescriptions,J06,2024Q2,Seasonal Naive,1308.0,2340.0,1032.0,1246.75
Number of Prescriptions,J06,2024Q2,AutoARIMA,1308.0,2098.650390625,790.650390625,760.4908447265625
Number of Prescriptions,J06,2024Q2,SARIMA,1308.0,2148.489013671875,840.489013671875,1170.6927490234375
Number of Prescriptions,J06,2024Q3,Historical Mean,1438.0,2071.8571428571427,633.8571428571427,802.9285714285713
Number of Prescriptions,J06,2024Q3,Naive,1438.0,2643.0,1205.0,1126.0
Number of Prescriptions,J06,2024Q3,Seasonal Naive,1438.0,2008.0,570.0,1246.75
Number of Prescriptions,J06,2024Q3,AutoARIMA,1438.0,2098.650390625,660.650390625,760.4908447265625
Number of Prescriptions,J06,2024Q3,SARIMA,1438.0,2109.221435546875,671.221435546875,1170.6927490234375
Number of Prescriptions,J06,2024Q4,Historical Mean,754.0,2071.8571428571427,1317.8571428571427,802.9285714285713
Number of Prescriptions,J06,2024Q4,Naive,754.0,2643.0,1889.0,1126.0
Number of Prescriptions,J06,2024Q4,Seasonal Naive,754.0,2643.0,1889.0,1246.75
Number of Prescriptions,J06,2024Q4,AutoARIMA,754.0,2098.650390625,1344.650390625,760.4908447265625
Number of Prescriptions,J06,2024Q4,SARIMA,754.0,3030.19970703125,2276.19970703125,1170.6927490234375
Number of Prescriptions,L01,2024Q1,Historical Mean,22620.0,19773.35714285714,2846.6428571428587,3066.0
Number of Prescriptions,L01,2024Q1,Naive,22620.0,18629.0,3991.0,3066.0
Number of Prescriptions,L01,2024Q1,Seasonal Naive,22620.0,23334.0,714.0,2631.0
Number of Prescriptions,L01,2024Q1,AutoARIMA,22620.0,18629.0,3991.0,3066.0
Number of Prescriptions,L01,2024Q1,SARIMA,22620.0,18629.0,3991.0,3066.0
Number of Prescriptions,L01,2024Q2,Historical Mean,24571.0,19773.35714285714,4797.642857142859,3066.0
Number of Prescriptions,L01,2024Q2,Naive,24571.0,18629.0,5942.0,3066.0
Number of Prescriptions,L01,2024Q2,Seasonal Naive,24571.0,26552.0,1981.0,2631.0
Number of Prescriptions,L01,2024Q2,AutoARIMA,24571.0,18629.0,5942.0,3066.0
Number of Prescriptions,L01,2024Q2,SARIMA,24571.0,18629.0,5942.0,3066.0
Number of Prescriptions,L01,2024Q3,Historical Mean,18158.0,19773.35714285714,1615.3571428571413,3066.0
Number of Prescriptions,L01,2024Q3,Naive,18158.0,18629.0,471.0,3066.0
Number of Prescriptions,L01,2024Q3,Seasonal Naive,18158.0,24127.0,5969.0,2631.0
Number of Prescriptions,L01,2024Q3,AutoARIMA,18158.0,18629.0,471.0,3066.0
Number of Prescriptions,L01,2024Q3,SARIMA,18158.0,18629.0,471.0,3066.0
Number of Prescriptions,L01,2024Q4,Historical Mean,16769.0,19773.35714285714,3004.3571428571413,3066.0
Number of Prescriptions,L01,2024Q4,Naive,16769.0,18629.0,1860.0,3066.0
Number of Prescriptions,L01,2024Q4,Seasonal Naive,16769.0,18629.0,1860.0,2631.0
Number of Prescriptions,L01,2024Q4,AutoARIMA,16769.0,18629.0,1860.0,3066.0
Number of Prescriptions,L01,2024Q4,SARIMA,16769.0,18629.0,1860.0,3066.0
Number of Prescriptions,L02,2024Q1,Historical Mean,11584.0,15647.464285714286,4063.4642857142862,6940.714285714286
Number of Prescriptions,L02,2024Q1,Naive,11584.0,6223.0,5361.0,3398.25
Number of Prescriptions,L02,2024Q1,Seasonal Naive,11584.0,8517.0,3067.0,2693.75
Number of Prescriptions,L02,2024Q1,AutoARIMA,11584.0,15647.4638671875,4063.4638671875,6940.7138671875
Number of Prescriptions,L02,2024Q1,SARIMA,11584.0,15647.4638671875,4063.4638671875,6940.7138671875
Number of Prescriptions,L02,2024Q2,Historical Mean,7684.0,15647.464285714286,7963.464285714286,6940.714285714286
Number of Prescriptions,L02,2024Q2,Naive,7684.0,6223.0,1461.0,3398.25
Number of Prescriptions,L02,2024Q2,Seasonal Naive,7684.0,11820.0,4136.0,2693.75
Number of Prescriptions,L02,2024Q2,AutoARIMA,7684.0,15647.4638671875,7963.4638671875,6940.7138671875
Number of Prescriptions,L02,2024Q2,SARIMA,7684.0,15647.4638671875,7963.4638671875,6940.7138671875
Number of Prescriptions,L02,2024Q3,Historical Mean,11165.0,15647.464285714286,4482.464285714286,6940.714285714286
Number of Prescriptions,L02,2024Q3,Naive,11165.0,6223.0,4942.0,3398.25
Number of Prescriptions,L02,2024Q3,Seasonal Naive,11165.0,12908.0,1743.0,2693.75
Number of Prescriptions,L02,2024Q3,AutoARIMA,11165.0,15647.4638671875,4482.4638671875,6940.7138671875
Number of Prescriptions,L02,2024Q3,SARIMA,11165.0,15647.4638671875,4482.4638671875,6940.7138671875
Number of Prescriptions,L02,2024Q4,Historical Mean,4394.0,15647.464285714286,11253.464285714286,6940.714285714286
Number of Prescriptions,L02,2024Q4,Naive,4394.0,6223.0,1829.0,3398.25
Number of Prescriptions,L02,2024Q4,Seasonal Naive,4394.0,6223.0,1829.0,2693.75
Number of Prescriptions,L02,2024Q4,AutoARIMA,4394.0,15647.4638671875,11253.4638671875,6940.7138671875
Number of Prescriptions,L02,2024Q4,SARIMA,4394.0,15647.4638671875,11253.4638671875,6940.7138671875
Number of Prescriptions,L03,2024Q1,Historical Mean,1003.0,1365.857142857143,362.8571428571429,492.1071428571429
Number of Prescriptions,L03,2024Q1,Naive,1003.0,1048.0,45.0,190.75
Number of Prescriptions,L03,2024Q1,Seasonal Naive,1003.0,1458.0,455.0,376.75
Number of Prescriptions,L03,2024Q1,AutoARIMA,1003.0,1196.119140625,193.119140625,404.90277099609375
Number of Prescriptions,L03,2024Q1,SARIMA,1003.0,1196.119140625,193.119140625,404.90277099609375
Number of Prescriptions,L03,2024Q2,Historical Mean,1081.0,1365.857142857143,284.8571428571429,492.1071428571429
Number of Prescriptions,L03,2024Q2,Naive,1081.0,1048.0,33.0,190.75
Number of Prescriptions,L03,2024Q2,Seasonal Naive,1081.0,1333.0,252.0,376.75
Number of Prescriptions,L03,2024Q2,AutoARIMA,1081.0,1272.8248291015625,191.8248291015625,404.90277099609375
Number of Prescriptions,L03,2024Q2,SARIMA,1081.0,1272.8248291015625,191.8248291015625,404.90277099609375
Number of Prescriptions,L03,2024Q3,Historical Mean,828.0,1365.857142857143,537.8571428571429,492.1071428571429
Number of Prescriptions,L03,2024Q3,Naive,828.0,1048.0,220.0,190.75
Number of Prescriptions,L03,2024Q3,Seasonal Naive,828.0,1163.0,335.0,376.75
Number of Prescriptions,L03,2024Q3,AutoARIMA,828.0,1312.5479736328125,484.5479736328125,404.90277099609375
Number of Prescriptions,L03,2024Q3,SARIMA,828.0,1312.5479736328125,484.5479736328125,404.90277099609375
Number of Prescriptions,L03,2024Q4,Historical Mean,583.0,1365.857142857143,782.8571428571429,492.1071428571429
Number of Prescriptions,L03,2024Q4,Naive,583.0,1048.0,465.0,190.75
Number of Prescriptions,L03,2024Q4,Seasonal Naive,583.0,1048.0,465.0,376.75
Number of Prescriptions,L03,2024Q4,AutoARIMA,583.0,1333.119140625,750.119140625,404.90277099609375
Number of Prescriptions,L03,2024Q4,SARIMA,583.0,1333.119140625,750.119140625,404.90277099609375
Number of Prescriptions,L04,2024Q1,Historical Mean,22115.0,17537.071428571428,4577.9285714285725,4040.4285714285725
Number of Prescriptions,L04,2024Q1,Naive,22115.0,22985.0,870.0,1488.0
Number of Prescriptions,L04,2024Q1,Seasonal Naive,22115.0,25711.0,3596.0,2760.0
Number of Prescriptions,L04,2024Q1,AutoARIMA,22115.0,22985.0,870.0,1488.0
Number of Prescriptions,L04,2024Q1,SARIMA,22115.0,23150.93359375,1035.93359375,3106.251953125
Number of Prescriptions,L04,2024Q2,Historical Mean,21073.0,17537.071428571428,3535.9285714285725,4040.4285714285725
Number of Prescriptions,L04,2024Q2,Naive,21073.0,22985.0,1912.0,1488.0
Number of Prescriptions,L04,2024Q2,Seasonal Naive,21073.0,24025.0,2952.0,2760.0
Number of Prescriptions,L04,2024Q2,AutoARIMA,21073.0,22985.0,1912.0,1488.0
Number of Prescriptions,L04,2024Q2,SARIMA,21073.0,24509.107421875,3436.107421875,3106.251953125
Number of Prescriptions,L04,2024Q3,Historical Mean,23146.0,17537.071428571428,5608.9285714285725,4040.4285714285725
Number of Prescriptions,L04,2024Q3,Naive,23146.0,22985.0,161.0,1488.0
Number of Prescriptions,L04,2024Q3,Seasonal Naive,23146.0,24629.0,1483.0,2760.0
Number of Prescriptions,L04,2024Q3,AutoARIMA,23146.0,22985.0,161.0,1488.0
Number of Prescriptions,L04,2024Q3,SARIMA,23146.0,24867.564453125,1721.564453125,3106.251953125
Number of Prescriptions,L04,2024Q4,Historical Mean,19976.0,17537.071428571428,2438.9285714285725,4040.4285714285725
Number of Prescriptions,L04,2024Q4,Naive,19976.0,22985.0,3009.0,1488.0
Number of Prescriptions,L04,2024Q4,Seasonal Naive,19976.0,22985.0,3009.0,2760.0
Number of Prescriptions,L04,2024Q4,AutoARIMA,19976.0,22985.0,3009.0,1488.0
Number of Prescriptions,L04,2024Q4,SARIMA,19976.0,26207.40234375,6231.40234375,3106.251953125
Number of Prescriptions,M01,2024Q1,Historical Mean,57564.0,59623.142857142855,2059.142857142855,9563.0
Number of Prescriptions,M01,2024Q1,Naive,57564.0,64547.0,6983.0,9563.0
Number of Prescriptions,M01,2024Q1,Seasonal Naive,57564.0,66627.0,9063.0,9227.0
Number of Prescriptions,M01,2024Q1,AutoARIMA,57564.0,61822.4609375,4258.4609375,10076.068359375
Number of Prescriptions,M01,2024Q1,SARIMA,57564.0,61822.4609375,4258.4609375,10076.068359375
Number of Prescriptions,M01,2024Q2,Historical Mean,70571.0,59623.142857142855,10947.857142857145,9563.0
Number of Prescriptions,M01,2024Q2,Naive,70571.0,64547.0,6024.0,9563.0
Number of Prescriptions,M01,2024Q2,Seasonal Naive,70571.0,74087.0,3516.0,9227.0
Number of Prescriptions,M01,2024Q2,AutoARIMA,70571.0,59770.1875,10800.8125,10076.068359375
Number of Prescriptions,M01,2024Q2,SARIMA,70571.0,59770.1875,10800.8125,10076.068359375
Number of Prescriptions,M01,2024Q3,Historical Mean,76667.0,59623.142857142855,17043.857142857145,9563.0
Number of Prescriptions,M01,2024Q3,Naive,76667.0,64547.0,12120.0,9563.0
Number of Prescriptions,M01,2024Q3,Seasonal Naive,76667.0,65463.0,11204.0,9227.0
Number of Prescriptions,M01,2024Q3,AutoARIMA,76667.0,59770.1875,16896.8125,10076.068359375
Number of Prescriptions,M01,2024Q3,SARIMA,76667.0,59770.1875,16896.8125,10076.068359375
Number of Prescriptions,M01,2024Q4,Historical Mean,51422.0,59623.142857142855,8201.142857142855,9563.0
Number of Prescriptions,M01,2024Q4,Naive,51422.0,64547.0,13125.0,9563.0
Number of Prescriptions,M01,2024Q4,Seasonal Naive,51422.0,64547.0,13125.0,9227.0
Number of Prescriptions,M01,2024Q4,AutoARIMA,51422.0,59770.1875,8348.1875,10076.068359375
Number of Prescriptions,M01,2024Q4,SARIMA,51422.0,59770.1875,8348.1875,10076.068359375
Number of Prescriptions,M02,2024Q1,Historical Mean,7467.0,31225.821428571428,23758.821428571428,26676.821428571428
Number of Prescriptions,M02,2024Q1,Naive,7467.0,59057.0,51590.0,54508.0
Number of Prescriptions,M02,2024Q1,Seasonal Naive,7467.0,57526.0,50059.0,49480.75
Number of Prescriptions,M02,2024Q1,AutoARIMA,7467.0,59057.0,51590.0,54508.0
Number of Prescriptions,M02,2024Q1,SARIMA,7467.0,59057.0,51590.0,54508.0
Number of Prescriptions,M02,2024Q2,Historical Mean,3737.0,31225.821428571428,27488.821428571428,26676.821428571428
Number of Prescriptions,M02,2024Q2,Naive,3737.0,59057.0,55320.0,54508.0
Number of Prescriptions,M02,2024Q2,Seasonal Naive,3737.0,54813.0,51076.0,49480.75
Number of Prescriptions,M02,2024Q2,AutoARIMA,3737.0,59057.0,55320.0,54508.0
Number of Prescriptions,M02,2024Q2,SARIMA,3737.0,59057.0,55320.0,54508.0
Number of Prescriptions,M02,2024Q3,Historical Mean,3284.0,31225.821428571428,27941.821428571428,26676.821428571428
Number of Prescriptions,M02,2024Q3,Naive,3284.0,59057.0,55773.0,54508.0
Number of Prescriptions,M02,2024Q3,Seasonal Naive,3284.0,44723.0,41439.0,49480.75
Number of Prescriptions,M02,2024Q3,AutoARIMA,3284.0,59057.0,55773.0,54508.0
Number of Prescriptions,M02,2024Q3,SARIMA,3284.0,59057.0,55773.0,54508.0
Number of Prescriptions,M02,2024Q4,Historical Mean,3708.0,31225.821428571428,27517.821428571428,26676.821428571428
Number of Prescriptions,M02,2024Q4,Naive,3708.0,59057.0,55349.0,54508.0
Number of Prescriptions,M02,2024Q4,Seasonal Naive,3708.0,59057.0,55349.0,49480.75
Number of Prescriptions,M02,2024Q4,AutoARIMA,3708.0,59057.0,55349.0,54508.0
Number of Prescriptions,M02,2024Q4,SARIMA,3708.0,59057.0,55349.0,54508.0
Number of Prescriptions,M03,2024Q1,Historical Mean,93482.0,83650.32142857143,9831.678571428565,7503.089285714283
Number of Prescriptions,M03,2024Q1,Naive,93482.0,93980.0,498.0,5373.25
Number of Prescriptions,M03,2024Q1,Seasonal Naive,93482.0,102307.0,8825.0,10529.25
Number of Prescriptions,M03,2024Q1,AutoARIMA,93482.0,93169.328125,312.671875,4718.9140625
